Unnamed: 0,filename,label,audio_label,video_label,original,height,width,fps,n_frames,id,exist_audio,exist_face,part
0,zghcedasdd.mp4,0,0,0,cffxvkvmcv.mp4,1080,1920,29,300,2574,1,1,17
1,hkzygoodvp.mp4,0,0,0,rmpvriplny.mp4,1080,1920,29,300,7496,1,1,7
2,frwgsmwayz.mp4,0,0,0,dcmwnhbreb.mp4,1920,1080,30,301,9210,1,1,44
3,qzlbdqnpoo.mp4,0,0,0,tgdwqisubw.mp4,1280,720,29,300,5456,1,1,13
4,rtozywbglx.mp4,0,0,0,ictedxrvpq.mp4,1080,1920,29,300,736,1,1,34
5,gtkrvhnjuz.mp4,0,0,0,vylzsyazmx.mp4,1080,1920,29,300,11770,1,1,49
6,gayflzqctp.mp4,0,0,0,nlgklygytj.mp4,1080,1920,29,300,856,1,1,17
7,iydzizaopo.mp4,0,0,0,xdixdkzvaa.mp4,1920,1080,23,240,7273,1,1,18
8,hjgxryckbx.mp4,0,0,0,pvbgxkkcat.mp4,1080,1920,29,299,11499,1,1,8
9,jziltecjtq.mp4,0,0,0,hlxgwlqtde.mp4,1080,1920,29,300,11605,1,1,7
10,aufuqdncad.mp4,0,0,0,kjprxkipkn.mp4,1080,1920,29,300,17136,1,1,42
11,jwehxetnmg.mp4,0,0,0,frmkxglmuc.mp4,1920,1080,24,241,15397,1,1,21
12,jrfaqilmkz.mp4,0,0,0,ziapicelup.mp4,1080,1920,29,300,11668,1,1,39
13,bpguesjrfa.mp4,0,0,0,wynotylpnm.mp4,1920,1080,29,300,7539,1,1,0
14,pdfqquvstp.mp4,0,0,0,ictedxrvpq.mp4,1080,1920,29,300,2622,1,1,34
15,vodgksbhef.mp4,0,0,0,kfqragdykf.mp4,1920,1080,30,301,10416,1,1,44
16,rovsffvpit.mp4,0,0,0,dgagwsjkqk.mp4,1920,1080,28,288,6383,1,1,24
17,krtsnoljze.mp4,0,0,0,wrajldrcye.mp4,1080,1920,29,300,5894,1,1,34
18,rbgsqnrlul.mp4,0,0,0,gjypopglvi.mp4,1080,1920,29,300,4973,1,1,28
19,pfdcrnrgnw.mp4,0,0,0,rgyhdgurdd.mp4,1080,1920,29,300,10312,1,1,9
20,mrghcjcomq.mp4,0,0,0,szhseoemfz.mp4,1080,1920,29,300,13551,1,1,7
21,astmemhkkb.mp4,0,0,0,lagxgxjnil.mp4,1080,1920,29,300,450,1,1,46
22,gjsegbhdyf.mp4,0,0,0,huowsesgyq.mp4,1920,1080,30,301,8487,1,1,11
23,tiyulgywmb.mp4,0,0,0,ardfibzljb.mp4,1080,1920,29,300,4315,1,1,36
24,ggrsoflwyw.mp4,0,0,0,pzkvwtadta.mp4,1920,1080,29,300,2266,1,1,3
25,htdxthdsqw.mp4,0,0,0,epgnqkhgsn.mp4,1080,1920,24,249,10337,1,1,24
